Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,EVOLUÇAO 3P ANOS,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,EVOLUÇAO PTS POR ANO,Trp-Dbl
2009-10,20,OKC,NBA,SG,76,0,1738,233,578,403,93,93,248,375,140,330,424,484,194,240,808,47,197,244,137,80,20,106,200,753,753,0
2010-11,21,OKC,NBA,SG,82,5,2189,298,684,436,113,206,324,349,185,360,514,518,289,343,843,42,213,255,176,92,24,106,207,998,1751,0
2011-12,22,OKC,NBA,SG,62,2,1946,309,629,491,114,320,292,390,195,337,579,582,312,369,846,30,222,252,229,62,15,137,150,1044,2795,0
2012-13,23,HOU,NBA,SG,78,78,2985,585,1337,438,179,499,486,368,406,851,477,504,674,792,851,62,317,379,455,142,38,295,178,2023,4818,1
2013-14,24,HOU,NBA,SG,73,73,2777,549,1205,456,177,676,483,366,372,722,515,529,576,665,866,61,283,344,446,115,29,265,177,1851,6669,1
2014-15,25,HOU,NBA,SG,81,81,2981,647,1470,440,208,884,555,375,439,915,480,511,715,824,868,75,384,459,565,154,60,321,208,2217,8886,4
2015-16,26,HOU,NBA,SG,82,82,3125,710,1617,439,236,1120,657,359,474,960,494,512,720,837,860,63,438,501,612,139,51,374,229,2376,11262,3
2016-17,27,HOU,NBA,PG,81,81,2947,674,1533,440,262,1382,756,347,412,777,530,525,746,881,847,95,564,659,907,121,38,464,215,2356,13618,22
2017-18,28,HOU,NBA,SG,72,72,2551,651,1449,449,265,1647,722,367,386,727,531,541,624,727,858,41,348,389,630,126,50,315,169,2191,15809,4
2018-19,29,HOU,NBA,PG,78,78,2867,843,1909,442,378,2025,1028,368,465,881,528,541,754,858,879,66,452,518,586,158,58,387,244,2818,18627,7
2019-20,30,HOU,NBA,SG,68,68,2483,672,1514,444,299,2324,843,355,373,671,556,543,692,800,865,70,376,446,512,125,60,308,227,2335,20962,4
2020-21,31,2TM,NBA,PG,44,43,1609,342,734,466,121,2445,334,362,221,400,553,548,278,323,861,35,313,348,475,53,33,177,99,1083,22045,12
2021-22,32,2TM,NBA,PG,65,65,2419,407,992,410,148,2593,448,330,259,544,476,485,470,536,877,55,445,500,667,82,36,284,153,1432,23477,11
2022-23,33,PHI,NBA,PG,58,58,2135,371,842,441,161,2754,418,385,210,424,495,536,313,361,867,40,314,354,618,71,31,195,112,1216,24693,5
2023-24,34,LAC,NBA,PG,72,72,2470,352,822,428,186,2940,488,381,166,334,497,541,302,344,878,34,335,369,614,77,57,185,127,1192,25885,3
2024-25,35,LAC,NBA,PG,79,79,2789,531,1295,410,235,3175,668,352,296,627,472,501,505,578,874,55,401,456,687,118,55,341,162,1802,27687,3
