Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,"PTS
▼"
1,Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,11.3,21.8,519,2.1,5.7,375,9.2,16.1,571,569,7.9,8.8,898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7
2,Giannis Antetokounmpo,30,MIL,PF,67,67,34.2,11.8,19.7,601,0.2,0.9,222,11.6,18.7,620,607,6.5,10.6,617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4
3,Nikola Jokić,29,DEN,C,70,70,36.7,11.2,19.5,576,2.0,4.7,417,9.3,14.8,627,627,5.2,6.4,800,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6
4,Anthony Edwards,23,MIN,SG,79,79,36.3,9.1,20.4,447,4.1,10.3,395,5.1,10.1,501,547,5.3,6.3,837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6
5,Jayson Tatum,26,BOS,PF,72,72,36.4,9.2,20.3,452,3.5,10.1,343,5.7,10.2,559,537,5.0,6.1,814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8
6,Kevin Durant,36,PHO,PF,62,62,36.5,9.5,18.1,527,2.6,6.0,430,7.0,12.1,574,598,4.9,5.8,839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6
7,Cade Cunningham,23,DET,PG,70,70,35.0,9.8,20.8,469,2.1,6.0,356,7.6,14.8,515,521,4.5,5.3,846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1
8,Jalen Brunson,28,NYK,PG,65,65,35.4,9.0,18.5,488,2.3,6.1,383,6.7,12.4,539,551,5.7,6.9,821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0
9,Devin Booker,28,PHO,SG,75,75,37.3,8.7,18.9,461,2.4,7.3,332,6.3,11.6,542,525,5.8,6.4,894,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6
10,Damian Lillard,34,MIL,PG,58,58,36.1,7.7,17.1,448,3.4,9.0,376,4.3,8.1,528,547,6.2,6.8,921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9
11,Stephen Curry,36,GSW,PG,70,70,32.2,8.1,18.0,448,4.4,11.2,397,3.6,6.8,534,572,4.0,4.3,933,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5
12,Karl-Anthony Towns,29,NYK,C,72,72,35.0,8.9,16.9,526,2.0,4.7,420,6.9,12.2,567,584,4.7,5.7,829,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4
13,LeBron James,40,LAL,SF,70,70,34.9,9.3,18.1,513,2.1,5.7,376,7.2,12.5,574,571,3.7,4.7,782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4
14,Trae Young,26,ATL,PG,76,76,36.0,7.4,18.1,411,2.9,8.4,340,4.6,9.7,474,491,6.5,7.4,875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2
15,Franz Wagner,23,ORL,SF,60,60,33.7,9.0,19.4,463,1.7,5.9,295,7.2,13.5,535,507,4.5,5.2,871,0.9,4.8,5.7,4.7,1.3,0.4,2.3,2.5,24.2
16,Donovan Mitchell,28,CLE,SG,71,71,31.4,8.2,18.6,443,3.3,8.9,368,5.0,9.7,512,531,4.2,5.1,823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0
17,Tyler Herro,25,MIA,SG,77,77,35.4,8.5,17.9,472,3.3,8.7,375,5.2,9.2,565,563,3.7,4.2,878,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9
18,De'Aaron Fox,27,2TM,PG,62,62,36.1,8.7,18.8,463,1.9,6.1,310,6.8,12.6,538,514,4.2,5.1,827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5
19,Zach LaVine,29,2TM,SG,74,74,35.2,8.4,16.5,511,3.2,7.2,446,5.2,9.3,562,609,3.2,3.9,825,0.3,4.0,4.3,4.2,0.8,0.2,2.8,1.6,23.3
20,James Harden,35,LAC,PG,79,79,35.3,6.7,16.4,410,3.0,8.5,352,3.7,7.9,472,501,6.4,7.3,874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8
